text,class
always  stood  voiceless  &amp  helpless,neg
even  people  like  actors  reel  life  real  life,pos
requesting  everyone  please  check  votes,pos
excerpt  telugu  novel  noted  journal,pos
even  people  like  actors  reel  life  real  life,pos
dear  allhave  good  day,pos
lines  beloved  poet  book  adhunika  mahabharatham,pos
silent  warriors  keep  inspiring,pos
may  greetings,pos
promise  given  chance  right  individuals  would  come  directly,pos
included  manifesto  significant  change  possible  andhra  pradesh  state  need,pos
hope  given  equal  youngsters  middle  aged  adults  kept  hearing,pos
hi  sir  self  surya  teja  australia  liked  way  done  ur  selection  procedure,pos
salute  remarkable  leader  late  sri  dasari  garu  stood  voiceless,pos
condolences  family  members  lost  kith  &amp  kin  storm,neg
celebrating  home  wishes  near&amp  dear  holy  day,pos
please  meetings,pos
brequesting  everyone  please  check  votes,pos
salute  brave  kargil  heroes  &amp  families,pos
homage  great  inspirational  leader  late  sri  vajpayee  ji,pos
salute  desh  exemplary  courage  defending  motherland,pos
honshri  amitabh  bachchan  thank  sir,pos
long  inequality  oppression  &amp  tyranny  exists  worldso  fighting  spirit  continues  exist,neg
revolutionary  spirit  relevant  contemporary  india  moneymedia  &amp  political  power,pos
merchandise  make  money  great  spirit  gave  life  meek  &amp  helpless  us,pos
wishes  team  video  song,pos
admired  environment  guru  killed  agarwal  sadhu,neg
iitan  prof  agarwal  fasted  clean  ganga  sacrificed  life  days  died,neg
dear  ramajogayya  gariki  thanks  janasainiks,pos
annayya  merantey  chala  istamnaku  politics  correct  kadhu  meekuany  ho  best  ur  politician  life,pos
madam  need  interview  urs  garu  elections  pls  make  possible,pos
good  luck,pos
sir  come  fast  waiting  ur  god,pos
"b ""my  dear  leaders  getting  position  would  teachers",pos
eagerly  waiting  candidate  constituency  pedakurapadu,pos
think  call  help,pos
konchem  nellore  meedha  concentrate  chey  bro  baga  weak  unnam,neg
easy  win  huge  majority  adhoka  mini  india,pos
sir  gatha  yrs  ga  thanu  emi  cabinet  minister  kadhu  kadha  sir\n  yes  may  ali,pos
bkonchem  nellore  meedha  concentrate  chey  bro  baga  weak  unnam,neg
anna  best  plz  dont  maintain  kind  tdp  cherishing,pos
whaaaaaaaaat  coming  facebook  live  pls  say  sir,pos
refreshen  public  memory  hon  chief  minister  sri  cbn  said  special  category,pos
dear  cm  sir  hear  voice  youth,pos
understand  pain  farmers,neg
hear  anguish  sikkolu  youth,neg
thank  graciously  hosting  us  dinner  tonight  enjoyed  farranging  exchange,pos
meanwhile  love,pos
regarding  groups  issues  watch  video  wilfully  misinformed,neg
govt  ration  announced  much  actually  reaches  ration  card  holdereven  times  like,pos
everyone  knows  sikkolu(srikakulam)  district  prone  cyclones  check  status  cyclone  relief  shelter,pos
seems  like  flowers  many,pos
tdp  intentionally  wants  displace  farmers  truly  want  go  ahead  appeal,pos
biography  great  poet  sri  ramdhari  singh  dinakar,pos
cheque  given  mother  reminds  responsibility  long  pending  demand  abolish,neg
explaining  manohargaruhow  father  nadendla  bhaskar  decision  extend  retirement  age  govt  employees,pos
good  wishes  brothers  sisters  &amp  seniors  karnataka  day  state  formation,pos
plz  vote  garu  \nfollow  thread  know  fans  always,pos
truly  believe  karnataka  state  progress  rapidly  directionsunder  committed  leadership,pos
believe  it\nand  \nvote  glass  bright  feature,pos
hope  hon  cm  sri  cbn  real  time  governance  noticed  road  one  kilometre  near  polavaram  project,pos
great  bro  congratulations,pos
bbelieve  it\nand  \nvote  glass  bright  feature,pos
best  pawan  garu,pos
time  ysr  total  assets  lakhs  ysr  become  cm  jagan  assets,pos
time  ysr  total  assets  lakhs  ysr  become  cm  jagan  assets,pos
points  discussed  uttarandhra  intellectuals  meet,pos
uttarandhra  intellectuals  observation  exploitation  indiscriminate  mining  area,pos
tdp  conveniently  forgotten  done  past  category,neg
confidence  motion,pos
case  tdp  memory  loss,neg
sir  please  confirm  kakinada  urban  candidate  eagerly  waiting,pos
jsp  bauxite  mining  following  video  could  see  illegal  mining  exploitation  reserved,neg
receiving  memorandum  children  care  &amp  share  charitable  trust\ni  request  concern  authorities  show  mercy,pos
cbn  garu  busy  fixing  alliances  busy  illegal  activities  like  mining,neg
sri  cbn  sir  &amp  sri  lokesh  sir  please  save  orphan  age  home  tdp,pos
tdp  govthelp  titli  victims  peanutsbut  publicity  size  everest\nthis  reminds  quote,neg
titli  victims  real  situation,neg
let  us  sacrifice  today  children  better  tomorrowapj  abdul  kalam,pos
pk  fans  desperately  waiting  jsp  win  election  pk  occupy  cm  chair\n\nfor,pos
one  day  shame  met  pawankalyan\n\nand  guess  what\n\nshame,neg
fake,neg
"yes  yes  yes  yes  cm  pawan  kalyan  epic  leader  know  history  andhra """,pos
super  brother,pos
excited  kalyan  gaarueagarly  waiting,pos
best  sir,pos
great  civil  rights  luther  king  jrmemorial  washington  dc,pos
thanks  giving  us  symbol  personally,pos
merry  christmas  \nmay  christmas  eve  bring  happiness  compassion  cheerfulness  &ampjoy  every  family,pos
one  time  would  like  convey  thanks  election  commission  india  giving  us,pos
"dont  waste  ur  time  mr  pk\n\nplz  save  tweet\n\njana  sena  wl  even  get  deposits  anywhr  andhra  pradesh """,pos
neither  think  wish  contest,neg
today  evening  \n\nthe  power  janasainiks  social  media  like  wave  sea\n\ncontinue  tsunami,pos
let  us  vote  better  future  money,pos
vote  registration  link  unte  share  cheyandi  asap,pos
battle  begins,neg
